tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
Tr_tweet_1,neutral,1.0,,,Virgin America,cairdin,0.0,@VirginAmerica What @dhepburn said.,2015-02-24 11:35:52 -0800,,Eastern Time (US & Canada)
Tr_tweet_2,positive,0.3486,,0.0,Virgin America,jnardino,0.0,@VirginAmerica plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59 -0800,,Pacific Time (US & Canada)
Tr_tweet_3,neutral,0.6837,,,Virgin America,yvonnalynn,0.0,@VirginAmerica I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48 -0800,Lets Play,Central Time (US & Canada)
Tr_tweet_4,negative,1.0,Bad Flight,0.7033,Virgin America,jnardino,0.0,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36 -0800,,Pacific Time (US & Canada)
Tr_tweet_5,negative,1.0,Can't Tell,1.0,Virgin America,jnardino,0.0,@VirginAmerica and it's a really big bad thing about it,2015-02-24 11:14:45 -0800,,Pacific Time (US & Canada)
Tr_tweet_6,negative,1.0,Can't Tell,0.6842,Virgin America,jnardino,0.0,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2015-02-24 11:14:33 -0800,,Pacific Time (US & Canada)
Tr_tweet_7,positive,0.6745,,0.0,Virgin America,cjmcginnis,0.0,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57 -0800,San Francisco CA,Pacific Time (US & Canada)
Tr_tweet_8,positive,0.6559,,,Virgin America,dhepburn,0.0,"@virginamerica Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19 -0800,San Diego,Pacific Time (US & Canada)
Tr_tweet_9,positive,1.0,,,Virgin America,YupitsTate,0.0,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27 -0800,Los Angeles,Eastern Time (US & Canada)
Tr_tweet_10,positive,1.0,,,Virgin America,HyperCamiLax,0.0,@VirginAmerica I &lt,,2015-02-24 10:30:40 -0800,NYC
Tr_tweet_11,positive,1.0,,,Virgin America,HyperCamiLax,0.0,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp,p,,2015-02-24 10:30:06 -0800
Tr_tweet_12,positive,1.0,,,Virgin America,sjespers,0.0,@VirginAmerica Thanks!,2015-02-24 10:15:29 -0800,"San Francisco, CA",Pacific Time (US & Canada)
Tr_tweet_13,negative,0.6842,Late Flight,0.3684,Virgin America,smartwatermelon,0.0,@VirginAmerica SFO-PDX schedule is still MIA.,2015-02-24 10:01:50 -0800,"palo alto, ca",Pacific Time (US & Canada)
Tr_tweet_14,positive,1.0,,,Virgin America,ItzBrianHunty,0.0,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2015-02-24 09:42:59 -0800,west covina,Pacific Time (US & Canada)
Tr_tweet_15,positive,1.0,,,Virgin America,thebrandiray,0.0,I ❤️ flying @VirginAmerica. ☺️👍,2015-02-24 09:15:00 -0800,Somewhere celebrating life. ,Atlantic Time (Canada)
Tr_tweet_16,positive,1.0,,,Virgin America,JNLpierce,0.0,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2015-02-24 09:04:10 -0800,Boston | Waltham,Quito
Tr_tweet_17,negative,0.6705,Can't Tell,0.3614,Virgin America,MISSGJ,0.0,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,2015-02-24 08:55:56 -0800,,
Tr_tweet_18,positive,1.0,,,Virgin America,DT_Les,0.0,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,2015-02-24 08:49:01 -0800,,
Tr_tweet_19,positive,1.0,,,Virgin America,ElvinaBeck,0.0,@VirginAmerica I love the hipster innovation. You are a feel good brand.,2015-02-24 08:30:15 -0800,Los Angeles,Pacific Time (US & Canada)
Tr_tweet_20,neutral,1.0,,,Virgin America,rjlynch21086,0.0,@VirginAmerica will you be making BOS&gt,,2015-02-24 08:27:52 -0800,"Boston, MA "
Tr_tweet_21,negative,1.0,Customer Service Issue,0.3557,Virgin America,ayeevickiee,0.0,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,2015-02-24 08:18:51 -0800,714,Mountain Time (US & Canada)
Tr_tweet_22,negative,1.0,Customer Service Issue,1.0,Virgin America,Leora13,0.0,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,2015-02-24 07:49:15 -0800,,
Tr_tweet_23,negative,1.0,Can't Tell,0.6614,Virgin America,meredithjlynn,0.0,@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail,2015-02-24 07:11:37 -0800,,
Tr_tweet_24,neutral,0.6854,,,Virgin America,AdamSinger,0.0,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,2015-02-24 05:44:59 -0800,"San Francisco, CA",Central Time (US & Canada)
Tr_tweet_25,negative,1.0,Bad Flight,1.0,Virgin America,blackjackpro911,0.0,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,2015-02-24 05:05:28 -0800,"San Mateo, CA & Las Vegas, NV",
Tr_tweet_26,neutral,0.615,,0.0,Virgin America,TenantsUpstairs,0.0,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,2015-02-23 23:34:30 -0800,Brooklyn,Atlantic Time (Canada)
Tr_tweet_27,negative,1.0,Flight Booking Problems,1.0,Virgin America,jordanpichler,0.0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",2015-02-23 22:52:29 -0800,,Vienna
Tr_tweet_28,neutral,1.0,,,Virgin America,JCervantezzz,0.0,@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?,2015-02-23 21:35:43 -0800,"California, San Francisco",Pacific Time (US & Canada)
Tr_tweet_29,negative,1.0,Customer Service Issue,1.0,Virgin America,Cuschoolie1,0.0,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",2015-02-23 21:10:41 -0800,Washington DC,Quito
Tr_tweet_30,negative,1.0,Customer Service Issue,1.0,Virgin America,amanduhmccarty,0.0,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",2015-02-23 20:55:30 -0800,,Pacific Time (US & Canada)
Tr_tweet_31,positive,1.0,,,Virgin America,NorthTxHomeTeam,0.0,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,2015-02-23 20:24:33 -0800,Texas,Central Time (US & Canada)
Tr_tweet_32,neutral,0.6207,,,Virgin America,miaerolinea,0.0,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,2015-02-23 18:46:00 -0800,Worldwide,Caracas
Tr_tweet_33,positive,1.0,,,Virgin America,Nicsplace,0.0,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,2015-02-23 18:43:35 -0800,Central Texas,
Tr_tweet_34,positive,1.0,,,Virgin America,Nicsplace,0.0,"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!",2015-02-23 18:19:47 -0800,Central Texas,
Tr_tweet_35,neutral,0.6791,,0.0,Virgin America,elisha_malulani,0.0,@VirginAmerica when can I book my flight to Hawaii??,2015-02-23 17:54:09 -0800,i'm creating a monster ,Pacific Time (US & Canada)
Tr_tweet_36,negative,1.0,Customer Service Issue,1.0,Virgin America,DannyDouglass,0.0,@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk,2015-02-23 17:41:58 -0800,"San Francisco, CA",Pacific Time (US & Canada)
Tr_tweet_37,positive,0.6639,,,Virgin America,jamesferrandini,0.0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",2015-02-23 17:32:54 -0800,,
Tr_tweet_38,negative,0.6688,Flight Booking Problems,0.6688,Virgin America,will_lenzenjr,0.0,"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?",2015-02-23 17:00:40 -0800,Iowa City,Central Time (US & Canada)
Tr_tweet_39,neutral,1.0,,,Virgin America,GottAmanda,0.0,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt,"[34.0219817, -118.38591198]",2015-02-23 16:24:11 -0800,Los Angeles
Tr_tweet_40,neutral,1.0,,,Virgin America,papamurat,0.0,@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?,2015-02-23 16:13:09 -0800,,
Tr_tweet_41,positive,1.0,,,Virgin America,arieldaie,0.0,@VirginAmerica I'm #elevategold for a good reason: you rock!!,2015-02-23 16:08:07 -0800,Los Angeles,
Tr_tweet_42,neutral,0.6799,,,Virgin America,vacations7,0.0,@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx,2015-02-23 16:04:28 -0800,Turks and caicos,
Tr_tweet_43,positive,1.0,,,Virgin America,ChelseaPoe666,0.0,@VirginAmerica wow this just blew my mind,2015-02-23 16:01:25 -0800,Oakland via Midwest ,Atlantic Time (Canada)
Tr_tweet_44,neutral,1.0,,,Virgin America,BobGlavinVO,0.0,@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree,2015-02-23 16:01:17 -0800,"New York, NY",Eastern Time (US & Canada)
Tr_tweet_45,neutral,0.6436,,,Virgin America,lisaaiko,0.0,@VirginAmerica @ladygaga @carrieunderwood All were entertaining,2015-02-23 15:58:00 -0800,,
Tr_tweet_46,neutral,0.6764,,0.0,Virgin America,grantbrowne,0.0,"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks.",2015-02-23 15:55:18 -0800,Worldwide,Central Time (US & Canada)
Tr_tweet_47,positive,0.657,,,Virgin America,joyabsalon,0.0,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,2015-02-23 15:46:46 -0800,Northern Virginia,Eastern Time (US & Canada)
Tr_tweet_48,neutral,1.0,,,Virgin America,2v,0.0,@VirginAmerica wish you flew out of Atlanta... Soon?,2015-02-23 15:36:51 -0800,Los Angeles / Atlanta,Eastern Time (US & Canada)
